time1,time2,state,hive_age,cubee,fob,fobr,foh,varroa,queen_age,queen_state,queen_cubee,queen_id,brood_pattern,stings,hid,hive_interacted
27,57,0,306,0,17.999999999999996,6.999999999999999,,,,,,,,,56412,16
0,30,1,29,1,,,,,,,,,,,56414,15
30,59,1,53,0,7.580837701437718,6.300124139561225,,,,,,,,,56414,0
59,89,1,80,0,8.999999999999998,6.435489844475804,,,,,,,,,56414,0
89,119,1,105,0,8.999999999999998,6.9999999999999964,,,,,,,,,56414,0
119,148,1,151,1,8.999999999999998,4.0,,0.0,,,,,,,56414,24
148,178,1,165,0,9.000000000000002,4.0,,5.0,,,,,,,56414,23
0,30,1,233,0,9.000000000000002,4.0,,5.0,,,,,,,56414,23
30,60,1,261,0,9.000000000000002,4.0,,,,,,,,,56414,23
60,87,0,299,0,9.000000000000002,4.0,,,,,,,,,56414,23
0,30,1,22,1,,,,,,,,,,,56682,22
30,59,1,51,0,7.999999999999995,2.832546241069488,,,,,,,,,56682,31
59,89,1,75,0,7.999999999999998,6.999999999999999,,,,,,,,,56682,30
89,119,1,113,0,7.999999999999998,5.039684199579492,,0.0,,,,,,,56682,31
119,148,1,142,1,7.999999999999995,2.9999999999999996,,0.0,,,,,,,56682,33
148,178,1,157,0,7.999999999999998,3.0000000000000004,,1.0,,,,,,,56682,33
178,207,1,179,0,7.999999999999998,3.0000000000000004,,1.0,,,,,,,56682,20
0,27,0,283,0,7.999999999999998,3.0000000000000004,,,,,,,,,56682,31
0,30,1,7,1,,,,,,,,,,,60242,15
30,59,1,37,0,11.00000000000001,4.0,,,,,,,,,60242,1
59,89,1,58,0,11.000000000000007,4.4721359549995805,,,,,,,,,60242,1
89,119,1,99,0,11.000000000000002,7.132222632205863,,0.0,,,,,,,60242,1
119,148,1,126,0,11.000000000000002,3.0000000000000004,2.0,0.0,,,,,,,60242,23
148,178,1,151,0,4.0,0.0,2.0,18.0,,,,,,,60242,22
0,27,0,272,0,4.0,0.0,2.0,,,,,,,,60242,22
0,30,1,7,1,,,,,,,,,,,60243,15
30,59,1,37,0,8.999999999999998,2.0,,0.0,,,,,,,60243,1
59,89,1,58,0,9.000000000000002,3.0000000000000004,,0.0,,,,,,,60243,1
89,119,1,99,0,7.214275642207715,4.0,,0.0,,,,,,,60243,1
119,148,1,126,1,4.0,2.0,2.0,,,,,,,,60243,23
148,178,1,151,0,5.4830203718434705,0.0,2.0,,,,,,,,60243,22
0,27,1,272,0,6.0,0.0,2.0,,,,,,,,60243,22
0,29,0,323,0,6.0,0.0,2.0,,,,,,,,60243,8
0,30,1,7,1,,,,,,,,,,,60252,22
30,59,1,36,0,17.00000000000001,0.0,,,,,,,,,60252,31
59,89,1,60,0,17.0,4.0,,,,,,,,,60252,30
89,119,1,98,0,17.00000000000001,6.850061521631181,,,,,,,,,60252,31
119,148,1,123,1,16.999999999999993,7.999999999999995,7.999999999999995,,,,,,,,60252,33
148,178,1,158,0,17.0,7.999999999999998,7.999999999999998,,,,,,,,60252,33
0,27,1,268,0,17.00000000000001,7.999999999999998,7.999999999999998,,,,,,,,60252,31
0,29,1,340,0,6.0,5.443160000697508,5.443160000697508,,,,,,4.999999999999999,3.1748021039363983,60252,17
29,59,1,372,0,8.10224051537587,4.560691464750423,4.299453248122569,,23.0,False,,60252_queen_0,4.651754268692964,0.0,60252,14
59,88,1,396,0,13.49073756323204,6.000000000000001,3.464101615137755,,47.0,False,,60252_queen_0,4.0,0.0,60252,19
88,118,1,424,0,22.67381727608653,10.327514615246166,8.358380118060289,,75.0,False,,60252_queen_0,5.000000000000002,5.33572819313506,60252,23
118,148,1,449,1,30.925109232062326,10.000000000000007,13.520174668217381,,100.0,False,,60252_queen_0,4.442881227740883,5.858587774987812,60252,25
148,177,1,491,1,20.47819449710957,5.540931274541077,13.967578949309159,0.0,137.0,True,,60252_queen_0,3.082805398744305,2.4772340969156788,60252,26
0,30,1,574,0,15.0,3.0000000000000004,15.999999999999998,4.0,88.0,False,,60252_queen_1,2.0,3.0000000000000004,60252,24
0,28,1,645,0,15.0,3.0000000000000004,15.999999999999998,,159.0,False,,60252_queen_1,2.0,3.0000000000000004,60252,24
28,58,0,673,0,15.0,3.0000000000000004,15.999999999999998,,187.0,False,,60252_queen_1,2.0,3.0000000000000004,60252,23
0,30,1,7,1,,,,,,,,,,,60253,22
30,59,1,36,0,9.000000000000002,0.0,,,,,,,,,60253,31
59,89,1,60,0,9.000000000000002,6.649399761150975,,,,,,,,,60253,30
89,119,1,98,0,9.000000000000005,6.147829239071267,1.0,1.0,,,,,,,60253,31
119,148,1,126,0,8.999999999999998,4.999999999999998,4.567507643927603,1.0,,,,,,,60253,33
148,178,1,158,0,9.000000000000002,4.999999999999999,7.999999999999998,15.0,,,,,,,60253,33
0,27,0,268,0,9.000000000000002,4.999999999999999,7.999999999999998,,,,,,,,60253,31
0,30,1,5,1,,,,,,,,,,,61083,15
30,59,1,35,0,9.000000000000002,3.0000000000000004,,,,,,,,,61083,1
59,89,1,56,0,8.999999999999998,2.1300821788799253,,,,,,,,,61083,1
89,119,1,97,0,9.000000000000005,1.5492596422666556,3.000000000000001,0.0,,,,,,,61083,1
119,148,1,124,1,9.000000000000005,3.000000000000001,3.000000000000001,0.0,,,,,,,61083,23
148,178,1,149,0,9.000000000000002,3.0000000000000004,3.0000000000000004,0.0,,,,,,,61083,22
0,27,0,270,0,9.000000000000002,3.0000000000000004,3.0000000000000004,,,,,,,,61083,22
0,30,1,5,1,,,,,,,,,,,61122,15
30,59,1,35,0,10.759248839730269,9.65562922710868,,,,,,,,,61122,1
59,89,1,56,0,10.000000000000007,7.999999999999998,,0.0,,,,,,,61122,1
89,119,1,97,0,10.000000000000007,9.42771222278286,,0.0,,,,,,,61122,1
119,148,1,124,1,10.000000000000002,4.999999999999999,6.0,0.0,,,,,,,61122,23
148,178,1,149,0,6.721264285142403,0.0,6.0,0.0,,,,,,,61122,22
0,27,1,270,0,6.0,0.0,6.0,,,,,,,,61122,22
0,29,0,321,0,6.0,0.0,6.0,,,,,,,,61122,8
0,30,1,3,1,,4.0,,,,,,,,,61501,22
30,59,1,34,0,6.9999999999999964,4.331823073688682,,,,,,,,,61501,31
59,89,1,58,0,6.999999999999999,5.153675006517942,,,,,,,,,61501,30
89,119,1,96,0,7.000000000000001,5.223580681168672,4.0,0.0,,,,,,,61501,31
119,148,1,125,1,6.999999999999999,2.0,4.0,3.0,,,,,,,61501,33
148,178,1,156,0,6.999999999999999,2.0,4.0,25.0,,,,,,,61501,33
0,27,0,266,0,6.999999999999999,2.0,4.0,,,,,,,,61501,31
0,30,1,3,0,,4.0,,,,,,,,,61502,22
30,59,1,34,0,,4.0,,,,,,,,,61502,31
59,89,1,58,0,,3.006299904278022,,,,,,,,,61502,30
89,119,1,96,0,,5.578003108649135,,4.0,,,,,,,61502,31
119,148,1,125,1,,4.0,,4.0,,,,,,,61502,33
148,178,1,156,0,,4.0,,41.0,,,,,,,61502,33
178,207,1,175,0,,4.0,,41.0,,,,,,,61502,20
0,27,0,266,0,,4.0,,,,,,,,,61502,31
0,30,1,0,0,,7.999999999999998,,,,,,,,,61577,22
30,59,1,34,0,,7.999999999999998,,,,,,,,,61577,31
59,89,1,58,0,,8.292940166137036,,,,,,,,,61577,30
89,119,1,96,0,,6.9999999999999964,,2.0,,,,,,,61577,31
119,148,1,125,1,,6.999999999999998,4.0,2.0,,,,,,,61577,33
148,178,1,156,0,,6.999999999999999,4.0,91.0,,,,,,,61577,33
0,27,0,266,0,,6.999999999999999,4.0,,,,,,,,61577,31
0,30,1,3,1,,3.0000000000000004,,,,,,,,,61687,22
30,59,1,34,0,12.000000000000005,3.177671523146436,,,,,,,,,61687,31
59,89,1,58,0,12.0,4.417037722227594,,,,,,,,,61687,30
89,119,1,96,0,12.0,6.316359597656379,,3.0,,,,,,,61687,31
119,148,1,125,0,12.000000000000005,5.999999999999998,5.999999999999998,3.0,,,,,,,61687,33
148,178,1,156,0,12.0,5.999999999999998,5.999999999999998,15.0,,,,,,,61687,33
0,27,0,266,0,12.0,6.0,6.0,,,,,,,,61687,31
0,30,1,0,0,,3.0000000000000004,,,,,,,,,61688,22
30,59,1,34,0,,4.149103428094347,,,,,,,,,61688,31
59,89,1,58,0,,7.130409831864011,,,,,,,,,61688,30
89,119,1,96,0,,7.000000000000001,3.000000000000001,0.0,,,,,,,61688,31
119,148,1,124,1,,6.0,4.0,0.0,,,,,,,61688,33
148,178,1,156,0,,5.999999999999998,4.0,28.0,,,,,,,61688,33
0,27,0,266,0,,6.0,4.0,,,,,,,,61688,31
0,30,1,0,0,4.0,3.0000000000000004,,,,,,,,,63176,15
30,59,1,24,0,5.644453082107541,5.486000706461334,,,,,,,,,63176,1
59,89,1,53,0,6.999999999999998,8.999999999999998,,,,,,,,,63176,1
89,119,1,94,0,6.999999999999999,8.299083013329286,,0.0,,,,,,,63176,1
119,148,1,121,0,6.999999999999999,7.999999999999998,2.0,0.0,,,,,,,63176,23
148,178,1,146,0,6.999999999999999,7.999999999999998,2.0,1.0,,,,,,,63176,22
0,27,0,267,0,6.999999999999999,7.999999999999998,2.0,,,,,,,,63176,22
0,30,1,0,0,4.0,3.0000000000000004,,,,,,,,,63177,22
30,59,1,24,0,5.427829532997363,4.378440317044339,,,,,,,,,63177,1
59,89,1,53,0,6.9999999999999964,7.5670512568162325,,,,,,,,,63177,1
89,119,1,94,0,6.999999999999995,8.489609570549694,,,,,,,,,63177,1
119,148,1,121,0,6.999999999999999,7.999999999999998,3.0000000000000004,,,,,,,,63177,33
148,178,1,146,0,6.999999999999999,7.999999999999998,3.0000000000000004,,,,,,,,63177,33
0,27,1,267,0,6.999999999999999,7.999999999999998,3.0000000000000004,,,,,,,,63177,31
27,57,1,303,0,6.999999999999999,7.999999999999998,3.0000000000000004,,,,,,,,63177,3
57,86,1,335,0,6.335480070215867,4.2409500780000995,4.175134259754579,,,,,,3.0000000000000004,6.999999999999999,63177,17
86,116,1,367,0,7.318611420045945,3.3982973271818513,4.64158883361278,,,,,,3.3982973271818513,3.6558006407085815,63177,14
116,145,1,391,0,13.94743666350405,5.57897466540162,6.888455290352329,,,,,,4.452221859093995,0.0,63177,19
145,175,1,416,0,20.976176963403017,10.198039027185569,13.49073756323204,,,,,,4.999999999999999,1.9999999999999998,63177,23
175,205,1,457,1,31.040512438465523,8.354953663058158,18.272441929989306,64.0,,,,,5.000000000000001,0.0,63177,25
205,234,1,486,0,19.000000000000004,7.000000000000001,6.0,15.0,25.0,False,,63177_queen_0,4.0,1.0,63177,26
234,264,1,519,1,12.872779445529302,3.000000000000001,9.999999999999998,8.0,58.0,False,,63177_queen_0,4.0,2.0,63177,18
0,30,1,569,0,7.999999999999998,3.0000000000000004,10.000000000000002,40.0,108.0,False,,63177_queen_0,4.0,2.0,63177,24
0,28,1,640,0,7.999999999999998,3.0000000000000004,10.000000000000002,,179.0,False,,63177_queen_0,4.0,2.0,63177,24
28,58,0,650,0,7.999999999999998,3.0000000000000004,10.000000000000002,,189.0,False,,63177_queen_0,4.0,2.0,63177,23
0,30,1,0,0,,,,,,,,,,,63649,1
30,59,1,28,0,20.000000000000007,,,,,,,,,,63649,9
59,89,1,60,0,19.999999999999996,4.993951323877372,,,,,,,,,63649,9
89,119,1,86,0,19.999999999999996,7.651724731089554,,,,,,,,,63649,9
119,148,1,113,0,19.999999999999996,3.4213855329600187,6.059987648827908,0.0,,,,,,,63649,24
148,178,1,137,0,19.999999999999996,2.0,6.999999999999998,3.0,,,,,,,63649,23
0,30,1,205,0,19.999999999999996,2.0,6.999999999999999,3.0,,,,,,,63649,23
30,60,1,233,0,19.999999999999996,2.0,6.999999999999999,,,,,,,,63649,23
60,87,1,271,0,19.999999999999996,2.0,6.999999999999999,,,,,,,,63649,23
0,29,1,334,0,5.857289129250467,1.381912879967776,3.5886277934367032,,,,,,1.0,0.0,63649,19
29,59,0,341,0,2.0,1.0,2.0,,,,,,1.0,0.0,63649,20
0,30,1,0,0,,,,,,,,,,,63666,1
30,59,1,28,0,9.673816065129992,4.687758895514242,,,,,,,,,63666,9
59,89,1,60,0,13.0,4.342738514236703,,,,,,,,,63666,9
89,119,1,86,0,13.0,4.308869380063767,,,,,,,,,63666,9
119,148,1,113,0,13.0,4.846984605403935,5.554604570458623,,,,,,,,63666,24
148,178,1,137,0,13.0,4.0,4.0,,,,,,,,63666,23
0,30,1,205,0,13.0,4.0,4.0,,,,,,,,63666,23
30,60,1,233,0,13.0,4.0,4.0,,,,,,,,63666,23
60,87,1,271,0,13.0,4.0,4.0,,,,,,,,63666,23
0,29,1,334,0,4.790596160696666,1.909683207820833,2.763825759935552,,,,,,2.9999999999999996,0.0,63666,19
29,59,1,355,0,3.7430702254466097,1.7043607928571491,2.0,,14.0,False,,63666_queen_0,3.7430702254466097,0.0,63666,20
59,88,1,386,0,5.501053835168586,2.4259563152821007,1.3910656192458295,,45.0,False,,63666_queen_0,4.0,0.0,63666,19
